id,title,used,price_original,price_current,department,category,sub_category
75384790,conjunto blitz closet,False,649,409.0,mocas,mocas-roupas,mocas-roupas-short
74181241,calça jeans tutti fruti,True,70,21.0,mocas,mocas-roupas,mocas-roupas-calcas
78149816,vestido apoá verde bandeira,True,200,200.0,mocas,mocas-roupas,mocas-roupas-vestidos
78149814,blusa manga princesa bufante,True,42,42.0,mocas,mocas-roupas,mocas-roupas-blusas
78072829,casaco/trench coat femnino,True,490,490.0,mocas,mocas-roupas,mocas-roupas-casaquinhos
78049884,2 camisetas de treino adidas ultimate tee tamanho m,True,80,80.0,mocas,mocas-roupas,mocas-roupas-camisetas
77725881,vestido longo de alças finas florido com forro,True,89,37.0,mocas,mocas-roupas,mocas-roupas-vestidos
76566362,calça alfaiataria Zara,False,389,298.0,mocas,mocas-roupas,mocas-roupas-calcas
76265475,saia em cetim,True,30,15.0,mocas,mocas-roupas,mocas-roupas-saias
76249134,Vestido figurino infantil,True,50,27.0,mocas,mocas-roupas,mocas-roupas-vestidos
76246108,vestido estampado maria gueixa,False,350,242.0,mocas,mocas-roupas,mocas-roupas-vestidos
75815698,blusa preta zoomp,True,76,63.84,mocas,mocas-roupas,mocas-roupas-blusas
75358995,blazer cropped blitz closet,False,289,144.0,mocas,mocas-roupas,mocas-roupas-casaquinhos
74593724,cropped estampado farm,True,60,60.0,mocas,mocas-roupas,mocas-roupas-blusas
73416025,vestido Planet,True,60,60.0,mocas,mocas-roupas,mocas-roupas-vestidos
78105352,vestido viscose,True,110,110.0,mocas,mocas-roupas,mocas-roupas-vestidos
78037643,shorts jeans azul zork,True,50,50.0,mocas,mocas-roupas,mocas-roupas-short
78002430,blusa transpassada sorella,False,99,99.0,mocas,mocas-roupas,mocas-roupas-blusas
77691877,linda calça pantalona farm,True,280,266.0,mocas,mocas-roupas,mocas-roupas-calcas
77238842,blusa preta mescla club monaco,True,86,73.1,mocas,mocas-roupas,mocas-roupas-blusas
76962333,vestido alphorria cult paetês,True,570,428.0,mocas,mocas-roupas,mocas-roupas-vestidos
76909768,vestido moletom  preto labellamafia,False,250,213.0,mocas,mocas-roupas,mocas-roupas-vestidos
76830306,blusa estampada Zara com botão joia,False,389,298.0,mocas,mocas-roupas,mocas-roupas-blusas
76694134,vestido h i m listras basic,True,120,120.0,mocas,mocas-roupas,mocas-roupas-vestidos
76532382,blusa listrada zara,True,55,49.0,mocas,mocas-roupas,mocas-roupas-blusas
76518638,seda pura adriana barra,False,1356,1056.0,mocas,mocas-roupas,mocas-roupas-vestidos
76458682,saia preta jeans reta denin zero,True,99,86.13,mocas,mocas-roupas,mocas-roupas-saias
76044658,calça wide leg alfaiataria,False,349,194.0,mocas,mocas-roupas,mocas-roupas-calcas
78132334,blusa verão,False,110,110.0,mocas,mocas-roupas,mocas-roupas-blusas
78115355,blusinha estampa cogumelo,True,45,45.0,mocas,mocas-roupas,mocas-roupas-blusas
78124157,blusa texturizada top shop,True,65,65.0,mocas,mocas-roupas,mocas-roupas-blusas
78107577,blusinha floral,True,20,20.0,mocas,mocas-roupas,mocas-roupas-blusas
78055682,croped brisa,False,85,85.0,mocas,mocas-roupas,mocas-roupas-blusas
77944560,vestido le lis blanc luisa renda plissado preto,False,1990,1990.0,mocas,mocas-roupas,mocas-roupas-vestidos-de-festa
77935423,vestido com estampa étnica,True,59,59.0,mocas,mocas-roupas,mocas-roupas-vestidos
77873482,cropped preto e verde animal print victoria's secrets,True,89,89.0,mocas,mocas-roupas,mocas-roupas-blusas
77820455,vestido soltinho,False,60,57.0,mocas,mocas-roupas,mocas-roupas-vestidos
77636955,croped zara em seda,True,180,128.0,mocas,mocas-roupas,mocas-roupas-camisas
77485477,vestido teia tubinho,True,120,120.0,mocas,mocas-roupas,mocas-roupas-vestidos
77263185,camisa estilo chemisse branco,True,785,671.0,mocas,mocas-roupas,mocas-roupas-vestidos
76744082,short feminino hering,True,55,15.0,mocas,mocas-roupas,mocas-roupas-short
76512046,t-shirt branca escrita com glitter calvin klein,False,114,85.5,mocas,mocas-roupas,mocas-roupas-camisetas
76030500,vestido jeans acinturado,True,69,18.0,mocas,mocas-roupas,mocas-roupas-vestidos
74445929,blusa malhas cida,True,200,75.0,mocas,mocas-roupas,mocas-roupas-blusas
73000829,calça jogger verde cris barros,True,347,222.08,mocas,mocas-roupas,mocas-roupas-calcas
78149788,blusa farm,True,95,95.0,mocas,mocas-roupas,mocas-roupas-blusas
78124554,blusa manga boca de sino,False,45,45.0,mocas,mocas-roupas,mocas-roupas-blusas
78099627,legging vinho e preta alto giro,True,74,74.0,mocas,mocas-roupas,mocas-roupas-calcas
77947045,calça jeans diesel,True,279,279.0,mocas,mocas-roupas,mocas-roupas-calcas
77926016,vestido vermelho,False,95,95.0,mocas,mocas-roupas,mocas-roupas-vestidos
